Tectonic regime,Onshore/Offshore,Hydrocarbon type,Reservoir status,Structural setting,Depth,Period,Lithology,Gross,Netpay,Porosity,Permeability
EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,PASSIVE,11364.0,CRETACEOUS,LIMESTONE,80.0,17.0,15.0,90.0
BASEMENT-I/COMPRESSION/STRIKE-SLIP,ONSHORE,OIL,NEARLY DEPLETED,FORELAND/WRENCH,3044.0,NEOGENE,LIMESTONE,561.0,123.0,21.0,38.0
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,7975.0,CRETACEOUS,SANDSTONE,300.0,7.0,11.0,20.0
COMPRESSION/EROSION/EXTENSION/INVERSION,ONSHORE,GAS,UNDEVELOPED,DELTA/PASSIVE,7382.0,PALEOGENE,SANDSTONE,1970.0,427.0,17.0,150.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,GAS-CONDENSATE,MATURE PRODUCTION,INVERSION/RIFT/SALT,10642.420238441327,TRIASSIC-JURASSIC,SANDSTONE,644.297037966988,445.91089351970237,14.968646810673281,315.31353189326717
COMPRESSION/EVAPORITE/EXTENSION/LINKED,ONSHORE,GAS,UNDEVELOPED,FORELAND,3390.0,JURASSIC,SANDSTONE,100.0,71.0,20.0,566.0
EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,RIFT,8750.0,PALEOGENE,SANDSTONE,1230.0,125.0,15.6,83.0
EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,GAS-CONDENSATE,ABANDONED,INVERSION/RIFT/SALT,9620.087665833475,CRETACEOUS-PALEOGENE,CHALK,653.0823253820569,545.0941279817287,20.081764533637855,0.783647093272429
COMPRESSION/EVAPORITE,ONSHORE,OIL,PLATEAU PRODUCTION,FORELAND/INVERSION,480.0,DEVONIAN,SANDSTONE,100.0,56.0,21.0,1000.0
COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5500.0,DEVONIAN,SANDSTONE,100.0,14.0,13.5,250.0
EXTENSION,ONSHORE,GAS-CONDENSATE,DECLINING PRODUCTION,RIFT,11200.0,CRETACEOUS,SANDSTONE,1378.0,446.0,14.0,340.0
COMPRESSION/EVAPORITE,ONSHORE,OIL,PLATEAU PRODUCTION,THRUST,3691.0,CRETACEOUS,LIMESTONE,175.0,115.0,14.0,10.0
COMPRESSION/EROSION/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,7175.0,PALEOGENE,SANDSTONE,505.0,120.0,20.0,1600.0
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,7863.0,CRETACEOUS,SANDSTONE,40.0,15.0,13.0,20.0
EXTENSION,OFFSHORE,GAS,PLATEAU PRODUCTION,RIFT,11288.80706408025,PALEOGENE,SANDSTONE,589.3787082877084,263.80339941140915,13.225404858327291,224.3437194582426
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,BACKARC,2310.0,NEOGENE,LOW-RESISTIVITY SANDSTONE,1197.0,263.0,26.0,300.0
DIAPIR/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE/SALT,8075.0,NEOGENE,SANDSTONE,460.0,150.0,24.0,900.0
COMPRESSION/EXTENSION,OFFSHORE,CARBON DIOXIDE,UNDEVELOPED,BACKARC,8218.0,NEOGENE,LIMESTONE,5335.0,2976.0,15.0,100.0
COMPRESSION/EROSION/EXTENSION/LINKED,ONSHORE,OIL,NEARLY DEPLETED,THRUST,1362.0,PALEOGENE,SANDSTONE,180.0,39.0,23.0,619.0
COMPRESSION/EROSION,ONSHORE,OIL,REJUVENATING,FORELAND,4300.0,CRETACEOUS,SANDSTONE,70.0,20.0,20.0,36.0
COMPRESSION/EVAPORITE,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,3150.0,PALEOGENE-NEOGENE,DOLOMITIC LIMESTONE,1600.0,672.0,9.0,1.0
COMPRESSION/EROSION/EXTENSION/GRAVITY/INVERSION/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/INVERSION/PASSIVE/RIFT,7956.548842046043,NEOGENE,SANDSTONE,72.65092004118468,56.92804170956737,27.261008884312815,1926.1008884312814
COMPRESSION/DIAPIR/EVAPORITE/EXTENSION/GRAVITY/INVERSION/SYNSEDIMENTATION,OFFSHORE,OIL,NEARLY DEPLETED,DELTA/PASSIVE/RIFT/SALT,9816.249924848413,JURASSIC,SANDSTONE,823.4376791112833,292.1563984243851,20.062491232314805,500.0
EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,DECLINING PRODUCTION,PASSIVE/SALT,5781.0,CRETACEOUS,LIMESTONE,650.0,280.0,25.0,800.0
EVAPORITE/EXTENSION/GRAVITY,ONSHORE,OIL,DECLINING PRODUCTION,PASSIVE,7940.0,CRETACEOUS,SANDSTONE,300.0,24.0,9.3,0.55
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,2350.0,PALEOGENE,SANDSTONE,1500.0,31.0,21.0,85.0
COMPRESSION/EROSION/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT,7168.434113082182,PALEOGENE,SANDSTONE,488.95928892229375,116.84172528003711,20.33244997052241,1591.6887507369397
EROSION/EXTENSION/GRAVITY/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE/RIFT,10021.48849320866,JURASSIC,SANDSTONE,98.28000408815593,59.49411884945763,18.505881150542372,2949.4118849457627
COMPRESSION/EXTENSION/GRAVITY/INVERSION/SHALE/SYNSEDIMENTATION,OFFSHORE,OIL,MATURE PRODUCTION,DELTA/FORELAND/INVERSION/RIFT,2080.9955291059573,PALEOGENE-NEOGENE,SANDSTONE,6143.200843781342,302.034785154184,23.0,205.58472743843873
COMPRESSION/EROSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,INVERSION/RIFT/SALT,10778.014539280426,JURASSIC,SANDSTONE,465.9143111459056,318.9889021861229,16.383511851779364,393.1905185765093
COMPRESSION/EXTENSION/INVERSION/STRIKE-SLIP,OFFSHORE,GAS-CONDENSATE,PLATEAU PRODUCTION,BACKARC/INVERSION/WRENCH,3020.0,NEOGENE,SANDSTONE,3400.0,120.0,22.0,160.0
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,6125.0,TRIASSIC,SANDSTONE,80.0,22.0,10.2,60.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,ABANDONED,INVERSION/RIFT/SALT,10622.620906716507,JURASSIC,SANDSTONE,410.0,267.8142402883653,17.33136365262666,189.15151298311196
COMPRESSION/EXTENSION/GRAVITY/INVERSION/SHALE/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,BACKARC/DELTA/FORELAND/INVERSION,724.1886354201679,NEOGENE,SANDSTONE,5458.104005912616,433.94038194495187,24.321192361100962,415.14904513762036
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,DEPLETED,FORELAND/RIFT/SALT,7031.915001400311,PERMIAN,DOLOMITE,43.36321960542536,42.782210057363386,14.394422915348732,50.32735607891493
COMPRESSION/EROSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,GAS,UNDEVELOPED,PASSIVE/RIFT/SUB-SALT,10468.030147916244,TRIASSIC,SANDSTONE,1879.9246302093893,465.8369311973992,15.579924630209389,447.9547781256336
COMPRESSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,PLATEAU PRODUCTION,INVERSION/RIFT,7648.0,CRETACEOUS,CHALK,480.0,410.0,35.0,2.0
COMPRESSION/EVAPORITE/EXTENSION/INVERSION,OFFSHORE,OIL,SECOND PLATEAU PRODUTION,INVERSION/RIFT/SALT,9250.0,CRETACEOUS-PALEOGENE,CHALK,820.0,590.0,32.0,1.5
EVAPORITE/EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT/SUB-SALT,7090.0,NEOGENE,SANDSTONE,1300.0,500.0,18.0,400.0
COMPRESSION/EXTENSION/GRAVITY/INVERSION/SHALE/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,BACKARC/DELTA/FORELAND/INVERSION,557.10934967359,NEOGENE,SANDSTONE,4988.586998575494,409.7259927063174,24.805480145873652,475.68501823420655
COMPRESSION,ONSHORE,OIL,UNKNOWN,FORELAND,9306.0,DEVONIAN,DOLOMITE,233.0,167.0,11.8,1407.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,PLATEAU PRODUCTION,FORELAND/RIFT/SALT,6953.04441240492,CRETACEOUS,LIMESTONE,130.57589012917458,126.20302534094962,23.494875491739958,32.88482197416508
COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND/SUB-THRUST,3000.0,CARBONIFEROUS,DOLOMITE,450.0,296.0,8.2,7.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,PLATEAU PRODUCTION,INVERSION/RIFT/SALT,7627.237401890263,CRETACEOUS,CHALK,503.8965751829052,393.15487323172255,29.123792987810194,79.56593256090544
COMPRESSION/EROSION/EXTENSION/LINKED,ONSHORE,OIL,REJUVENATING,FORELAND/THRUST,1613.0,NEOGENE,SANDSTONE,1600.0,230.0,20.0,450.0
COMPRESSION/EXTENSION/LINKED,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,5880.0,PERMIAN,DOLOMITE,100.0,65.0,15.0,2.6
COMPRESSION/EROSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,2950.0,CRETACEOUS,LOW-RESISTIVITY SANDSTONE,70.0,4.0,25.0,170.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION/SYNSEDIMENTATION,OFFSHORE,GAS,PLATEAU PRODUCTION,PASSIVE/RIFT/SALT,13931.049417421913,NEOGENE,SANDSTONE,154.42456171196585,104.76761278952432,25.951125186304647,757.2390367170581
EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,OIL,MATURE PRODUCTION,PASSIVE/SALT,9967.0,CRETACEOUS,LIMESTONE,427.0,160.0,19.0,175.0
EROSION/EXTENSION,OFFSHORE,OIL,DECLINING PRODUCTION,RIFT,9200.0,JURASSIC,SANDSTONE,500.0,425.0,17.0,350.0
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,GAS,DEVELOPING,RIFT,9967.0,CRETACEOUS,LIMESTONE,85.0,75.0,14.0,5.0
EXTENSION,ONSHORE,OIL,MATURE PRODUCTION,INTRACRATONIC,5990.0,JURASSIC,LIMESTONE,75.0,60.0,14.0,10.0
EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,PLATEAU PRODUCTION,PASSIVE,2958.8498347980485,CRETACEOUS,SANDSTONE,503.0750826009758,163.26877065024394,24.530750826009758,765.375413004879
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,NEARLY DEPLETED,FOREARC/INVERSION/RIFT,8781.880697676163,PALEOGENE,CONGLOMERATE,497.2865555916055,288.3438632403937,10.990643295143467,124.01754599006408
COMPRESSION/EROSION/EXTENSION/INVERSION,OFFSHORE,GAS,UNDEVELOPED,PASSIVE/RIFT,10300.0,TRIASSIC,SANDSTONE,2300.0,260.0,16.0,700.0
COMPRESSION,ONSHORE,OIL,DECLINING PRODUCTION,FORELAND,3776.0,JURASSIC,SANDSTONE,984.0,24.0,16.0,72.0
EVAPORITE/EXTENSION/GRAVITY,ONSHORE,OIL,UNKNOWN,RIFT/SALT,2973.0,CARBONIFEROUS-PERMIAN,SANDSTONE,250.0,100.0,25.0,500.0
BASEMENT-I/COMPRESSION/EVAPORITE/GRAVITY/STRIKE-SLIP,OFFSHORE,OIL,DECLINING PRODUCTION,FORELAND/SALT/WRENCH,6959.122359303117,NEOGENE,SANDSTONE,71.67932591339498,47.51573363521947,25.0,416.68475130484995
BASEMENT-I/COMPRESSION/EVAPORITE/GRAVITY/STRIKE-SLIP,OFFSHORE,OIL,DECLINING PRODUCTION,FORELAND/SALT/WRENCH,6938.79991246453,NEOGENE,SANDSTONE,77.48573929584846,54.73227598198309,25.0,424.9796275654978
COMPRESSION,ONSHORE,OIL,NEARLY DEPLETED,FORELAND,5400.0,CRETACEOUS,SANDSTONE,300.0,2.12,12.0,7.0
COMPRESSION/EROSION/EVAPORITE/EXTENSION,ONSHORE,OIL,DECLINING PRODUCTION,SUB-SALT,9022.0,TRIASSIC,SANDSTONE,353.0,190.0,17.0,500.0
BASEMENT-I/COMPRESSION/EXTENSION/INVERSION/STRIKE-SLIP/TRANSPRESSION,OFFSHORE,OIL,DEVELOPING,BACKARC/INVERSION/WRENCH,3494.8149716212283,NEOGENE,SANDSTONE,2507.347853352091,214.9629943242456,20.100740113515087,50.79255652711754
BASEMENT-I/COMPRESSION/EXTENSION/INVERSION/STRIKE-SLIP/TRANSPRESSION,OFFSHORE,OIL,DEVELOPING,BACKARC/INVERSION/WRENCH,3468.568320653281,NEOGENE,SANDSTONE,2556.691557171832,209.71366413065618,20.205726717386877,56.829286249745394
EROSION/EXTENSION/GRAVITY/SHALE/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/RIFT/WRENCH,6500.076133731455,NEOGENE,SANDSTONE,266.532530712834,134.97033871545062,23.012985257976833,139.8052211303475
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,GAS,DECLINING PRODUCTION,INVERSION/SUB-SALT,8175.0,PERMIAN,SANDSTONE,375.0,369.0,16.0,52.0
TRANSPRESSION/UPLIFT,ONSHORE,GAS,DECLINING PRODUCTION,PASSIVE,5627.0,JURASSIC,SANDSTONE,900.0,23.0,20.0,95.0
COMPRESSION/EVAPORITE/EXTENSION/GRAVITY/INVERSION,OFFSHORE,OIL,DEVELOPING,RIFT,8094.859363788062,CRETACEOUS,SANDSTONE,113.32370558306364,40.55876480564545,15.391135363951818,29.832370558306366
COMPRESSION/EROSION/EXTENSION,ONSHORE,OIL,REJUVENATING,INTRACRATONIC,8200.0,CAMBRIAN,SANDSTONE,1800.0,902.0,9.0,5.0
EXTENSION/GRAVITY/SHALE,OFFSHORE,OIL,DECLINING PRODUCTION,DELTA/PASSIVE,7985.0,NEOGENE,SANDSTONE,66.0,50.0,28.0,2000.0
COMPRESSION/EXTENSION/GRAVITY/INVERSION/SHALE/SYNSEDIMENTATION,OFFSHORE,OIL,DECLINING PRODUCTION,BACKARC/DELTA/FORELAND/INVERSION,936.5501567294133,NEOGENE,SANDSTONE,6054.870657823671,464.71741401875556,23.70565171962489,338.2064649531111
DIAPIR/EVAPORITE/EXTENSION/GRAVITY/SYNSEDIMENTATION,OFFSHORE,OIL,MATURE PRODUCTION,DELTA/PASSIVE/SALT,9948.763167459414,CRETACEOUS,LIMESTONE,482.35038648282966,143.04294518156087,22.839333166439054,278.981939924391
COMPRESSION/EXTENSION/INVERSION,OFFSHORE,OIL,MATURE PRODUCTION,FOREARC/INVERSION/RIFT,8976.692756612563,JURASSIC,SANDSTONE,216.2144307579921,116.79294566953308,10.021429071579282,22.250052515824706
COMPRESSION,ONSHORE,OIL,MATURE PRODUCTION,FORELAND,6367.0,CRETACEOUS,SANDSTONE,110.0,17.0,14.0,4.3
BASEMENT-I/STRIKE-SLIP/TRANSPRESSION,OFFSHORE,GAS-CONDENSATE,UNDEVELOPED,INVERSION/WRENCH,6794.0,NEOGENE,SANDSTONE,290.0,148.0,23.0,100.0
EVAPORITE/EXTENSION/GRAVITY,OFFSHORE,GAS-CONDENSATE,ABANDONED,INVERSION/RIFT/SALT,9629.0,CRETACEOUS-PALEOGENE,CHALK,640.0,550.0,20.0,0.8
COMPRESSION/EROSION,ONSHORE-OFFSHORE,OIL,MATURE PRODUCTION,WRENCH/FORELAND,1400.0,NEOGENE,SANDSTONE,500.0,120.0,35.0,1200.0
COMPRESSION/EROSION,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,FORELAND,6550.0,CRETACEOUS,DOLOMITE,1300.0,200.0,11.0,10.0
STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,WRENCH,2326.0,NEOGENE,THINLY-BEDDED SANDSTONE,700.0,375.0,28.0,400.0
STRIKE-SLIP/TRANSPRESSION/BASEMENT-I,ONSHORE-OFFSHORE,OIL,NEARLY DEPLETED,WRENCH,1726.0,NEOGENE,THINLY-BEDDED SANDSTONE,660.0,152.0,34.0,2300.0
INVERSION/COMPRESSION/EXTENSION,ONSHORE-OFFSHORE,OIL,DECLINING PRODUCTION,RIFT/INVERSION,4954.0,TRIASSIC,SANDSTONE,525.0,150.0,18.0,100.0
